,season,passer_id,passer,pass,complete_pass,interception,sack,yards_gained,touchdown
0,1999,00-0000104,T.Aikman,531,285.0,13.0,20.0,3126.0,18.0
1,1999,00-0000722,T.Banks,376,169.0,8.0,33.0,1946.0,19.0
2,1999,00-0000865,C.Batch,327,151.0,7.0,36.0,1773.0,14.0
3,1999,00-0001157,M.Berger,1,0.0,0.0,0.0,0.0,0.0
4,1999,00-0001215,J.Bettis,1,1.0,0.0,0.0,21.0,1.0
5,1999,00-0001218,S.Beuerlein,649,343.0,15.0,50.0,4156.0,41.0
6,1999,00-0001335,J.Blake,443,215.0,12.0,30.0,2506.0,18.0
7,1999,00-0001361,D.Bledsoe,626,305.0,21.0,55.0,3643.0,20.0
8,1999,00-0001471,S.Bono,1,0.0,0.0,0.0,0.0,0.0
9,1999,00-0001785,B.Brister,23,12.0,3.0,0.0,87.0,0.0
10,1999,00-0001907,D.Brown,192,84.0,6.0,18.0,831.0,2.0
11,1999,00-0002068,T.Brown,1,0.0,0.0,0.0,0.0,0.0
12,1999,00-0002110,M.Brunell,552,283.0,11.0,34.0,3204.0,17.0
13,1999,00-0002787,S.Case,194,77.0,8.0,17.0,872.0,5.0
14,1999,00-0002876,C.Chandler,364,174.0,11.0,32.0,2109.0,18.0
15,1999,00-0003292,K.Collins,368,190.0,11.0,16.0,2206.0,12.0
16,1999,00-0003395,B.Conway,1,0.0,0.0,0.0,0.0,0.0
17,1999,00-0003535,T.Couch,484,223.0,13.0,56.0,2088.0,15.0
18,1999,00-0003557,S.Covington,5,4.0,0.0,0.0,23.0,0.0
19,1999,00-0003761,R.Cunningham,228,124.0,9.0,15.0,1374.0,11.0
20,1999,00-0004161,J.Delhomme,87,42.0,5.0,6.0,479.0,3.0
21,1999,00-0004229,K.Detmer,29,10.0,2.0,0.0,181.0,3.0
22,1999,00-0004230,T.Detmer,98,47.0,2.0,4.0,522.0,5.0
23,1999,00-0004293,T.Dilfer,282,146.0,11.0,26.0,1471.0,13.0
24,1999,00-0005092,M.Faulk,1,0.0,0.0,0.0,0.0,0.0
25,1999,00-0005106,B.Favre,667,341.0,23.0,35.0,3878.0,24.0
26,1999,00-0005180,J.Fiedler,115,68.0,3.0,7.0,783.0,4.0
27,1999,00-0005363,D.Flutie,537,264.0,16.0,26.0,3082.0,21.0
28,1999,00-0005379,G.Foley,40,18.0,0.0,6.0,249.0,2.0
29,1999,00-0005589,G.Frerotte,375,196.0,9.0,33.0,2130.0,10.0
30,1999,00-0005741,R.Gannon,594,304.0,14.0,49.0,3614.0,27.0
31,1999,00-0005755,J.Garcia,409,225.0,11.0,15.0,2442.0,12.0
32,1999,00-0005779,C.Garner,1,0.0,0.0,1.0,-8.0,0.0
33,1999,00-0005794,J.Garrett,74,32.0,1.0,5.0,297.0,3.0
34,1999,00-0005885,J.George,474,232.0,13.0,35.0,3175.0,32.0
35,1999,00-0005902,J.Germaine,20,9.0,2.0,3.0,113.0,2.0
36,1999,00-0006100,P.Gonzalez,1,1.0,0.0,0.0,8.0,0.0
37,1999,00-0006212,K.Graham,329,160.0,9.0,26.0,1530.0,12.0
38,1999,00-0006299,T.Graziani,137,62.0,4.0,12.0,681.0,2.0
39,1999,00-0006300,E.Grbac,542,294.0,15.0,26.0,3222.0,23.0
40,1999,00-0006410,C.Greisen,6,1.0,0.0,0.0,4.0,0.0
41,1999,00-0006423,B.Griese,513,261.0,14.0,27.0,2856.0,16.0
42,1999,00-0006808,J.Harbaugh,506,249.0,14.0,37.0,2555.0,11.0
43,1999,00-0007091,M.Hasselbeck,11,3.0,0.0,1.0,32.0,1.0
44,1999,00-0007530,B.Hobert,183,85.0,6.0,11.0,891.0,7.0
45,1999,00-0007832,B.Hoying,5,2.0,0.0,0.0,10.0,0.0
46,1999,00-0007835,D.Huard,272,130.0,4.0,31.0,1157.0,10.0
47,1999,00-0008401,J.Jett,1,0.0,0.0,0.0,0.0,0.0
48,1999,00-0008442,B.Johnson,660,351.0,16.0,33.0,4133.0,26.0
49,1999,00-0008560,K.Johnson,1,0.0,0.0,0.0,0.0,0.0
50,1999,00-0008561,K.Johnson,2,0.0,0.0,1.0,-9.0,0.0
51,1999,00-0008612,R.Johnson,68,35.0,0.0,7.0,386.0,2.0
52,1999,00-0008970,P.Justin,16,9.0,0.0,1.0,88.0,0.0
53,1999,00-0009007,D.Kanell,95,42.0,4.0,5.0,556.0,5.0
54,1999,00-0009266,S.King,234,117.0,7.0,18.0,1066.0,9.0
55,1999,00-0009288,T.Kirby,1,1.0,0.0,0.0,2.0,0.0
56,1999,00-0009311,J.Kitna,599,284.0,18.0,38.0,3278.0,25.0
57,1999,00-0009451,E.Kramer,155,78.0,10.0,7.0,726.0,3.0
58,1999,00-0009868,J.Lewis,4,2.0,0.0,1.0,5.0,0.0
59,1999,00-0010137,R.Lucas,304,161.0,6.0,11.0,1677.0,15.0
60,1999,00-0010346,P.Manning,620,350.0,15.0,14.0,4248.0,27.0
61,1999,00-0010379,D.Marino,457,232.0,19.0,12.0,2654.0,21.0
62,1999,00-0010560,S.Matthews,305,167.0,6.0,13.0,1566.0,13.0
63,1999,00-0011022,D.McNabb,262,106.0,7.0,28.0,806.0,9.0
64,1999,00-0011024,S.McNair,477,249.0,10.0,21.0,2594.0,14.0
65,1999,00-0011044,C.McNown,264,127.0,10.0,18.0,1396.0,8.0
66,1999,00-0011244,C.Miller,95,46.0,1.0,7.0,476.0,2.0
67,1999,00-0011276,J.Miller,193,110.0,6.0,7.0,1199.0,7.0
68,1999,00-0011378,R.Mirer,221,95.0,9.0,22.0,1014.0,5.0
69,1999,00-0011434,S.Mitchell,20,7.0,2.0,1.0,43.0,0.0
70,1999,00-0011524,W.Moon,2,1.0,0.0,0.0,20.0,0.0
71,1999,00-0011640,M.Moreno,8,5.0,0.0,1.0,75.0,0.0
72,1999,00-0011754,R.Moss,1,1.0,0.0,0.0,27.0,1.0
73,1999,00-0012261,N.O'Donnell,214,116.0,5.0,9.0,1319.0,12.0
74,1999,00-0012726,D.Pederson,259,119.0,9.0,20.0,1167.0,8.0
75,1999,00-0012732,R.Peete,21,8.0,1.0,2.0,98.0,2.0
76,1999,00-0012742,D.Pelfrey,1,0.0,0.0,0.0,0.0,0.0
77,1999,00-0012953,C.Pickens,1,1.0,0.0,0.0,6.0,0.0
78,1999,00-0013013,M.Pittman,1,1.0,0.0,0.0,26.0,0.0
79,1999,00-0013042,J.Plummer,444,201.0,24.0,27.0,1977.0,11.0
80,1999,00-0013108,D.Pope,1,0.0,0.0,0.0,0.0,0.0
81,1999,00-0013523,R.Reed,1,0.0,0.0,1.0,-11.0,0.0
82,1999,00-0013639,J.Rice,1,0.0,0.0,0.0,0.0,0.0
83,1999,00-0013712,M.Ricks,1,0.0,0.0,0.0,0.0,0.0
84,1999,00-0014115,M.Royals,2,1.0,0.0,0.0,17.0,0.0
85,1999,00-0014324,D.Sanders,1,0.0,0.0,0.0,0.0,0.0
86,1999,00-0014328,F.Sanders,1,0.0,0.0,0.0,0.0,0.0
87,1999,00-0015063,T.Small,2,0.0,0.0,0.0,0.0,0.0
88,1999,00-0015082,A.Smith,179,80.0,6.0,19.0,695.0,2.0
89,1999,00-0015242,L.Smith,1,0.0,0.0,0.0,0.0,0.0
90,1999,00-0015290,R.Smith,1,0.0,0.0,0.0,0.0,0.0
91,1999,00-0015420,J.Sowell,1,0.0,0.0,0.0,0.0,0.0
92,1999,00-0015523,D.Staley,1,0.0,0.0,1.0,-8.0,0.0
93,1999,00-0015627,S.Stenstrom,118,54.0,4.0,10.0,470.0,1.0
94,1999,00-0015700,K.Stewart,315,160.0,10.0,22.0,1333.0,8.0
95,1999,00-0016193,V.Testaverde,15,10.0,1.0,0.0,96.0,1.0
96,1999,00-0016534,B.Tolliver,315,139.0,16.0,19.0,1770.0,8.0
97,1999,00-0016538,M.Tomczak,294,139.0,8.0,15.0,1523.0,14.0
98,1999,00-0016683,T.Tupa,17,6.0,0.0,3.0,139.0,3.0
99,1999,00-0016838,A.Van Pelt,1,1.0,0.0,0.0,9.0,0.0
100,1999,00-0017121,S.Walsh,13,7.0,2.0,0.0,47.0,1.0
